Entity,Code,Year,One-sided violence,Non-state,Intrastate,Extrasystemic,Interstate
World,OWID_WRL,2013,11530,5600,93451,0,31
World,OWID_WRL,2014,15311,17609,115813,0,49
World,OWID_WRL,2015,10915,12829,103545,0,63
World,OWID_WRL,2016,7909,13719,89983,0,125
World,OWID_WRL,2017,9252,22518,71704,0,151
World,OWID_WRL,2018,5020,25128,54586,0,240
World,OWID_WRL,2019,5449,20406,52125,0,302
World,OWID_WRL,2020,8638,23555,53189,0,648
World,OWID_WRL,2021,10707,25333,83884,0,218
World,OWID_WRL,2022,11846,21137,122283,0,81726
